"","Fish_no","zoo_mean","zoo_sd","fish_mean","fish_sd","pref_mean","pref_sd","sst_mean","species","fish_size_class"
"152",152,-4.08110870964042,0.579726090992902,-2.66668693552454,0.412110562880689,-2.4309381033096,0.421037470041263,1.45925475619734,"PRM",0.275
"153",153,-4.08110870964042,0.579726090992902,-2.87134549968907,0.438803897874485,-2.48524341795531,0.599380127182532,1.45243303701282,"PRM",0.325
"154",154,-4.14361185245566,0.618466442149526,-3.13424111002306,0.272948228392332,-3.03513673046751,0.334846650728007,3.62510454207659,"PRM",-0.475
"155",155,-4.14361185245566,0.618466442149526,-2.77085658229375,0.258539319755212,-2.67443863450021,0.312821688736314,3.62510454207659,"PRM",0.175
"156",156,-4.14361185245566,0.618466442149526,-2.60744390474901,0.151615763806991,-2.5819126585881,0.14713576815184,3.62510454207659,"PRM",0.275
"157",157,-4.14361185245566,0.618466442149526,-2.93704272013044,0.527922528097197,-2.7044031353678,0.445898171577999,3.62510454207659,"PRM",0.325
"158",158,-4.14361185245566,0.618466442149526,-2.63204999620697,0.215956336076208,-2.5181089671837,0.3626706686438,3.62510454207659,"PRM",0.375
"159",159,-4.14361185245566,0.618466442149526,-2.88777288804504,0.305144670933364,-2.78530494112227,0.305812039619193,3.62510454207659,"PRM",0.475
"160",160,-4.32139380550386,0.410798100739766,-2.7837229961848,0.440323384874106,-2.48029838706768,0.370505100279144,3.68992585614324,"PRY",0.475
"161",161,-4.32139380550386,0.410798100739766,-3.14683922228043,0.357029479650514,-2.74215800249155,0.545364801615558,3.68992585614324,"PRY",0.625
"162",162,-4.32139380550386,0.410798100739766,-2.51289635153357,0.564043727683348,-2.03297910656942,0.426707550456779,3.68992585614324,"PRY",0.725
"163",163,-4.20007734971729,0.478351405161129,-2.59582845322952,0.545951435450356,-1.80856050121512,0.534324425986494,4.15070128744202,"PRY",0.575
"164",164,-4.20007734971729,0.478351405161129,-2.78687924724701,0.380661905227486,-2.36842755467281,0.521197057588833,4.1720420091413,"PRY",0.625
